Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Volume (cubic metres) (En),Data qualifier,Volume (en mètre cube) (Fr),Qualificatifs de données
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,1100,E,1100,E
1991,1991,QC,Quebec,Québec,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,QC,Quebec,Québec,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,488000,E,488000,E
1991,1991,SK,Saskatchewan,Saskatchewan,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,SK,Saskatchewan,Saskatchewan,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,462000,E,462000,E
1991,1991,YT,Yukon,Yukon,Hardwoods,Feuillus,Federal land,Terres fédérales,,n,,n
1991,1991,YT,Yukon,Yukon,Softwoods,Résineux,Federal land,Terres fédérales,,n,,n
1991,1991,YT,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,BC,British Columbia,Colombie-Britannique,Softwoods,Résineux,Private land regulated,Terres privées,2658670,a,2658670,a
1991,1991,BC,British Columbia,Colombie-Britannique,Hardwoods,Feuillus,Private land regulated,Terres privées,9566,a,9566,a
1991,1991,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Private land regulated,Terres privées,,u,,u
1991,1991,AB,Alberta,Alberta,Softwoods,Résineux,Provincial land,Terres provinciales,14520271,a,14520271,a
1991,1991,AB,Alberta,Alberta,Hardwoods,Feuillus,Provincial land,Terres provinciales,10377064,a,10377064,a
